train start... 
episode: 498, step: 137, reward: 382.5, done: True
episode: 499, step: 137, reward: 384.4, done: True
episode: 500, step: 147, reward: 416.3, done: True
episode: 501, step: 3, reward: 9.025, done: True
episode: 502, step: 1, reward: 3.0, done: True
episode: 503, step: 158, reward: 441.675, done: True
episode: 504, step: 148, reward: 411.7, done: True
episode: 505, step: 150, reward: 415.8, done: True
episode: 506, step: 154, reward: 439.2, done: True
episode: 507, step: 135, reward: 380.3, done: True
episode: 508, step: 91, reward: 248.3, done: True
episode: 509, step: 111, reward: 306.4, done: True
episode: 510, step: 151, reward: 413.1, done: True
episode: 511, step: 127, reward: 354.4, done: True
episode: 512, step: 154, reward: 424.0, done: True
episode: 513, step: 117, reward: 309.2, done: True
episode: 514, step: 145, reward: 400.8, done: True
episode: 515, step: 122, reward: 341.3, done: True
episode: 516, step: 128, reward: 353.6, done: True
episode: 517, step: 138, reward: 377.9, done: True
episode: 518, step: 123, reward: 344.3, done: True
episode: 519, step: 128, reward: 357.4, done: True
episode: 520, step: 151, reward: 426.4, done: True
episode: 521, step: 135, reward: 380.3, done: True
episode: 522, step: 148, reward: 417.4, done: True
episode: 523, step: 3, reward: 9.025, done: True
episode: 524, step: 1, reward: 3.0, done: True
episode: 525, step: 147, reward: 404.875, done: True
episode: 526, step: 126, reward: 353.3, done: True
episode: 527, step: 134, reward: 373.5, done: True
episode: 528, step: 144, reward: 392.1, done: True
episode: 529, step: 134, reward: 377.3, done: True
episode: 530, step: 125, reward: 352.2, done: True
episode: 531, step: 135, reward: 380.3, done: True
episode: 532, step: 127, reward: 352.5, done: True
episode: 533, step: 124, reward: 345.4, done: True
episode: 534, step: 160, reward: 459.1, done: True
episode: 535, step: 163, reward: 464.3, done: True
episode: 536, step: 155, reward: 434.6, done: True
episode: 537, step: 165, reward: 470.3, done: True
episode: 538, step: 149, reward: 426.1, done: True
episode: 539, step: 146, reward: 405.7, done: True
episode: 540, step: 131, reward: 366.4, done: True
episode: 541, step: 144, reward: 181.2, done: True
episode: 542, step: 106, reward: 291.4, done: True
episode: 543, step: 133, reward: 372.4, done: True
episode: 544, step: 149, reward: 420.4, done: True
episode: 545, step: 3, reward: 9.025, done: True
episode: 546, step: 1, reward: 3.0, done: True
episode: 547, step: 145, reward: 406.475, done: True
episode: 548, step: 138, reward: 387.4, done: True
episode: 549, step: 133, reward: 374.3, done: True
episode: 550, step: 113, reward: 316.2, done: True
episode: 551, step: 121, reward: 336.4, done: True
episode: 552, step: 152, reward: 425.6, done: True
episode: 553, step: 137, reward: 384.4, done: True
episode: 554, step: 143, reward: 404.3, done: True
episode: 555, step: 155, reward: 440.3, done: True
episode: 556, step: 123, reward: 332.9, done: True
episode: 557, step: 143, reward: 402.4, done: True
episode: 558, step: 105, reward: 296.0, done: True
episode: 559, step: 146, reward: 206.2, done: True
episode: 560, step: 126, reward: 345.7, done: True
episode: 561, step: 293, reward: 837.2, done: True
episode: 562, step: 149, reward: 409.0, done: True
episode: 563, step: 100, reward: 275.3, done: True
episode: 564, step: 137, reward: 382.5, done: True
episode: 565, step: 147, reward: 408.7, done: True
episode: 566, step: 3, reward: 9.025, done: True
episode: 567, step: 1, reward: 3.0, done: True
episode: 568, step: 154, reward: 439.175, done: True
episode: 569, step: 154, reward: 431.6, done: True
episode: 570, step: 127, reward: 354.4, done: True
episode: 571, step: 110, reward: 301.5, done: True
episode: 572, step: 126, reward: 359.0, done: True
episode: 573, step: 132, reward: 375.1, done: True
episode: 574, step: 134, reward: 227.2, done: True
episode: 575, step: 129, reward: 360.4, done: True
episode: 576, step: 144, reward: 403.5, done: True
episode: 577, step: 114, reward: 311.6, done: True
episode: 578, step: 138, reward: 385.5, done: True
episode: 579, step: 267, reward: 742.1, done: True
episode: 580, step: 122, reward: 337.5, done: True
episode: 581, step: 155, reward: 428.9, done: True
episode: 582, step: 138, reward: 224.0, done: True
episode: 583, step: 149, reward: 424.2, done: True
episode: 584, step: 100, reward: 277.2, done: True
episode: 585, step: 116, reward: 321.4, done: True
episode: 586, step: 152, reward: 423.7, done: True
episode: 587, step: 2, reward: 6.025, done: True
episode: 588, step: 1, reward: 3.0, done: True
episode: 589, step: 233, reward: 651.475, done: True
episode: 590, step: 152, reward: 433.2, done: True
episode: 591, step: 127, reward: 356.3, done: True
episode: 592, step: 136, reward: 383.3, done: True
episode: 593, step: 93, reward: 250.5, done: True
episode: 594, step: 146, reward: 411.4, done: True
episode: 595, step: 140, reward: 382.0, done: True
episode: 596, step: 241, reward: 681.2, done: True
episode: 597, step: 102, reward: 281.3, done: True
episode: 598, step: 139, reward: 392.3, done: True
episode: 599, step: 135, reward: 380.3, done: True
episode: 600, step: 304, reward: 858.8, done: True
episode: 601, step: 136, reward: 383.3, done: True
episode: 602, step: 148, reward: 426.9, done: True
episode: 603, step: 142, reward: 401.3, done: True
episode: 604, step: 109, reward: 302.3, done: True
episode: 605, step: 158, reward: 447.4, done: True
episode: 606, step: 2, reward: 6.025, done: True
episode: 607, step: 1, reward: 3.0, done: True
